file,group,description,rows,cols,missing_pct,keys
core.parquet,core,"Shared core — every group joins to this on (geo, time)",450,11,2.73,"geo, time"
angle_a_country.parquet,G01,"A1 · country × time · prices, mix, intensity",450,11,4.16,"geo, time"
angle_a_sector.parquet,G02,A2 · country × sector × time · industrial energy use,3150,7,2.74,"geo, time, nace_r2"
angle_b_occupation.parquet,G03,B1 · occupation × country × time · task exposure,3600,9,4.36,"geo, time, isco08"
angle_b_sector.parquet,G04,B2 · sector × country × time · employment and earnings,3150,8,3.48,"geo, time, nace_r2"
angle_c_country.parquet,G05,"C1 · country × time · adoption, barriers (2021–)",330,33,23.87,"geo, time"
angle_c_sector_size.parquet,G06,C2 · country × sector × size class (2021–),2520,10,5.73,"geo, time, nace_r2, size_emp"
angle_d_partner.parquet,G07,D1 · reporter × partner × time · bilateral flows,3150,7,1.24,"geo, time, partner"
angle_d_product.parquet,G08,D2 · reporter × product × time · HS lines,2700,8,2.58,"geo, time, hs"
angle_e_centralbank.parquet,G09,"E1 · central bank corpus, monthly 2010–2024",1980,7,0.0,doc_id
angle_e_national.parquet,G10,"E2 · national policy corpus, cross-country",1280,7,0.0,doc_id
